,,,,#N,,,,,,,#N,,,
Test,1,3,5,10,30,50,100,1,5,10,50,100,500,1000
XS(1),58.8,18.2,11.3,5.7,2.1,1.3,1,154.5,31.3,14.9,3.2,1.7,1,1
XS(N^{-1/2}),32.8,12.9,8.8,5.1,2.2,1.5,1,153.8,35.9,18.1,5.1,3,1,1
Mei,58.1,21.8,15,9,4.2,3.1,2,129.7,38.7,21.7,8.1,5.5,2.1,2
Mei(N^{-1/2}),25.9,13.8,10.5,7.2,4.1,3.2,2.1,32.4,14.6,10.7,5.4,4,2,2
Mei(3N^{-1/2}),33.6,16.1,11.7,7.6,4.1,3.1,2,43.3,17.3,12.3,5.9,4.3,2,2
S(N^{-1/2}),26.9,12.4,8.8,5.4,2.4,1.7,1,33.1,11.8,7.5,2.5,1.6,1,1
S(3N^{-1/2}),34.6,13.4,9,5.1,2.1,1.4,1,45.5,13.2,8,2.4,1.5,1,1
N,38.2,17.7,11.6,7.1,3.1,2.1,1.2,52.3,17,10.8,3.7,2.3,1,1
"SL(\lambda_{1}=1,\lambda_{2}=0.8)",25.2,11.9,8.5,5.2,2.3,1.6,1,28.6,10.9,6.9,2.4,1.5,1,1
"SL(\lambda_{1}=1,\lambda_{2}=1.99)",26.5,11.5,7.9,4.6,1.9,1.3,1,26.1,9.8,6.1,2,1.2,1,1